region,species_name,species_qualified,cuid,cu_name_pse,pointid,streamid,stream_name_pse,indicator,latitude,longitude,year,stream_observed_count,stream_survey_method,stream_survey_quality,source_id
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),298,1859,WILSON CREEK,N,49.43848024,-123.7098832,1969,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),298,1859,WILSON CREEK,N,49.43848024,-123.7098832,1971,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),298,1859,WILSON CREEK,N,49.43848024,-123.7098832,1973,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),298,1859,WILSON CREEK,N,49.43848024,-123.7098832,1991,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),298,1859,WILSON CREEK,N,49.43848024,-123.7098832,1995,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),298,1859,WILSON CREEK,N,49.43848024,-123.7098832,1996,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),298,1859,WILSON CREEK,N,49.43848024,-123.7098832,1997,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),298,1859,WILSON CREEK,N,49.43848024,-123.7098832,1998,2,Unknown Estimate Method,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),298,1859,WILSON CREEK,N,49.43848024,-123.7098832,1999,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),298,1859,WILSON CREEK,N,49.43848024,-123.7098832,2000,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),298,1859,WILSON CREEK,N,49.43848024,-123.7098832,2001,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),298,1859,WILSON CREEK,N,49.43848024,-123.7098832,2002,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),5,1860,PENDER HARBOUR CREEKS,N,49.64052568,-123.9858542,1979,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),5,1860,PENDER HARBOUR CREEKS,N,49.64052568,-123.9858542,1991,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),5,1860,PENDER HARBOUR CREEKS,N,49.64052568,-123.9858542,1995,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),5,1860,PENDER HARBOUR CREEKS,N,49.64052568,-123.9858542,1996,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),5,1860,PENDER HARBOUR CREEKS,N,49.64052568,-123.9858542,1997,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),5,1860,PENDER HARBOUR CREEKS,N,49.64052568,-123.9858542,1998,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),5,1860,PENDER HARBOUR CREEKS,N,49.64052568,-123.9858542,1999,2,Unknown Estimate Method,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),299,1861,CARLSON CREEK,N,49.54193053,-123.7996671,1979,3,Unknown Estimate Method,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),299,1861,CARLSON CREEK,N,49.54193053,-123.7996671,1993,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),299,1861,CARLSON CREEK,N,49.54193053,-123.7996671,1995,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),299,1861,CARLSON CREEK,N,49.54193053,-123.7996671,1996,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),299,1861,CARLSON CREEK,N,49.54193053,-123.7996671,1997,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),299,1861,CARLSON CREEK,N,49.54193053,-123.7996671,1998,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),299,1861,CARLSON CREEK,N,49.54193053,-123.7996671,2000,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),299,1861,CARLSON CREEK,N,49.54193053,-123.7996671,2002,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),300,1862,ANGUS CREEK,N,49.50711289,-123.7565966,1984,30,Unknown Estimate Method,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),300,1862,ANGUS CREEK,N,49.50711289,-123.7565966,1986,2,Unknown Estimate Method,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),300,1862,ANGUS CREEK,N,49.50711289,-123.7565966,1991,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),300,1862,ANGUS CREEK,N,49.50711289,-123.7565966,1995,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),300,1862,ANGUS CREEK,N,49.50711289,-123.7565966,1996,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),300,1862,ANGUS CREEK,N,49.50711289,-123.7565966,1997,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),300,1862,ANGUS CREEK,N,49.50711289,-123.7565966,1998,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),300,1862,ANGUS CREEK,N,49.50711289,-123.7565966,2000,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),300,1862,ANGUS CREEK,N,49.50711289,-123.7565966,2002,-989898,Not Applicable,Low,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),281,1863,SHANNON CREEK,N,49.67508422,-123.1614743,1953,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),281,1863,SHANNON CREEK,N,49.67508422,-123.1614743,1954,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),281,1863,SHANNON CREEK,N,49.67508422,-123.1614743,1955,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),281,1863,SHANNON CREEK,N,49.67508422,-123.1614743,1956,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),281,1863,SHANNON CREEK,N,49.67508422,-123.1614743,1957,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),281,1863,SHANNON CREEK,N,49.67508422,-123.1614743,1958,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),281,1863,SHANNON CREEK,N,49.67508422,-123.1614743,1959,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),281,1863,SHANNON CREEK,N,49.67508422,-123.1614743,1960,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),281,1863,SHANNON CREEK,N,49.67508422,-123.1614743,1961,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),281,1863,SHANNON CREEK,N,49.67508422,-123.1614743,1962,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),281,1863,SHANNON CREEK,N,49.67508422,-123.1614743,1963,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),281,1863,SHANNON CREEK,N,49.67508422,-123.1614743,1964,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),281,1863,SHANNON CREEK,N,49.67508422,-123.1614743,1965,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),281,1863,SHANNON CREEK,N,49.67508422,-123.1614743,1966,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),281,1863,SHANNON CREEK,N,49.67508422,-123.1614743,1967,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),281,1863,SHANNON CREEK,N,49.67508422,-123.1614743,1968,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),281,1863,SHANNON CREEK,N,49.67508422,-123.1614743,1969,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),281,1863,SHANNON CREEK,N,49.67508422,-123.1614743,1970,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),281,1863,SHANNON CREEK,N,49.67508422,-123.1614743,1971,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),281,1863,SHANNON CREEK,N,49.67508422,-123.1614743,1972,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),281,1863,SHANNON CREEK,N,49.67508422,-123.1614743,1973,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),281,1863,SHANNON CREEK,N,49.67508422,-123.1614743,1974,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),281,1863,SHANNON CREEK,N,49.67508422,-123.1614743,1975,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),281,1863,SHANNON CREEK,N,49.67508422,-123.1614743,1976,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),281,1863,SHANNON CREEK,N,49.67508422,-123.1614743,1977,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),281,1863,SHANNON CREEK,N,49.67508422,-123.1614743,1978,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),281,1863,SHANNON CREEK,N,49.67508422,-123.1614743,1979,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),281,1863,SHANNON CREEK,N,49.67508422,-123.1614743,1980,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),281,1863,SHANNON CREEK,N,49.67508422,-123.1614743,1981,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),281,1863,SHANNON CREEK,N,49.67508422,-123.1614743,1982,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),281,1863,SHANNON CREEK,N,49.67508422,-123.1614743,1983,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),281,1863,SHANNON CREEK,N,49.67508422,-123.1614743,1984,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),281,1863,SHANNON CREEK,N,49.67508422,-123.1614743,1985,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),281,1863,SHANNON CREEK,N,49.67508422,-123.1614743,1986,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),281,1863,SHANNON CREEK,N,49.67508422,-123.1614743,1988,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),281,1863,SHANNON CREEK,N,49.67508422,-123.1614743,1991,1,Unknown Estimate Method,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),281,1863,SHANNON CREEK,N,49.67508422,-123.1614743,1995,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),281,1863,SHANNON CREEK,N,49.67508422,-123.1614743,1996,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),281,1863,SHANNON CREEK,N,49.67508422,-123.1614743,1997,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),281,1863,SHANNON CREEK,N,49.67508422,-123.1614743,1998,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),281,1863,SHANNON CREEK,N,49.67508422,-123.1614743,2000,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),281,1863,SHANNON CREEK,N,49.67508422,-123.1614743,2002,-989898,Not Applicable,Low,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),301,1864,TZOONIE RIVER,N,49.78782449,-123.7235744,1953,75,Unknown Estimate Method,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),301,1864,TZOONIE RIVER,N,49.78782449,-123.7235744,1954,75,Unknown Estimate Method,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),301,1864,TZOONIE RIVER,N,49.78782449,-123.7235744,1955,75,Unknown Estimate Method,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),301,1864,TZOONIE RIVER,N,49.78782449,-123.7235744,1956,400,Unknown Estimate Method,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),301,1864,TZOONIE RIVER,N,49.78782449,-123.7235744,1957,75,Unknown Estimate Method,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),301,1864,TZOONIE RIVER,N,49.78782449,-123.7235744,1958,25,Unknown Estimate Method,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),301,1864,TZOONIE RIVER,N,49.78782449,-123.7235744,1959,25,Unknown Estimate Method,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),301,1864,TZOONIE RIVER,N,49.78782449,-123.7235744,1961,-989898,Not Applicable,Unknown,NuSEDS_20251103
